iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IRQ,Asia,Iraq,2021-06-02,1210105.0,4583.0,4058.143,16436.0,31.0,24.143,30085.273,113.941,100.892,408.627,0.771,0.6,1.0,,,,,,,,,39380.0,10442991.0,259.631,0.979,40283.0,1.002,0.104,9.6,samples tested,582537.0,,,,8864.0,1.45,,,220.0,77.31,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
IRL,Europe,Ireland,2021-06-02,261872.0,0.0,350.857,4941.0,0.0,0.0,53034.188,0.0,71.055,1000.649,0.0,0.0,0.02,35.0,7.088,,,,,,,,,,,,,,,,2349207.0,1734234.0,,,35524.0,47.58,35.12,,7194.0,74.07,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
IMN,Europe,Isle of Man,2021-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89719.0,61317.0,28402.0,212.0,937.0,105.51,72.11,33.4,11019.0,,85032.0,147.872,,,,,,,,,,,,81.4,
ISR,Asia,Israel,2021-06-02,839517.0,6.0,15.571,6415.0,2.0,1.286,96991.858,0.693,1.799,741.144,0.231,0.149,0.61,29.0,3.35,80.0,9.243,7.0,0.809,32.0,3.697,29512.0,16948495.0,1958.109,3.41,26506.0,3.062,0.001,1717.9,tests performed,10587948.0,5453027.0,5134921.0,1278.0,2505.0,122.33,63.0,59.33,289.0,43.52,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ITA,Europe,Italy,2021-06-02,4223200.0,2896.0,3053.286,126283.0,62.0,94.429,69849.029,47.898,50.499,2088.64,1.025,1.562,0.69,989.0,16.357,7181.0,118.769,,,2167.407,35.848,86977.0,66172255.0,1094.447,1.439,215184.0,3.559,0.015,65.1,tests performed,35817595.0,24163743.0,12397459.0,370753.0,480297.0,59.24,39.97,20.5,7944.0,68.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
JAM,North America,Jamaica,2021-06-02,48638.0,44.0,76.714,951.0,2.0,2.429,16425.314,14.859,25.907,321.158,0.675,0.82,0.9,,,,,,,,,,372604.0,125.83,,1683.0,0.568,0.045,22.3,samples tested,177883.0,155683.0,22200.0,,1883.0,6.01,5.26,0.75,636.0,76.85,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
JPN,Asia,Japan,2021-06-02,752865.0,3036.0,3113.429,13220.0,113.0,92.429,5952.61,24.004,24.617,104.525,0.893,0.731,0.75,,,,,,,,,83703.0,13716480.0,108.451,0.662,80446.0,0.636,0.044,23.0,people tested,14775865.0,10991098.0,3784767.0,777835.0,597252.0,11.68,8.69,2.99,4722.0,49.07,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
JEY,Europe,Jersey,2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105714.0,60116.0,45598.0,,854.0,104.59,59.48,45.11,8449.0,,101073.0,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-06-02,737888.0,604.0,921.714,9489.0,17.0,15.0,72319.698,59.197,90.336,930.008,1.666,1.47,0.86,,,,,,,,,15346.0,7260498.0,711.594,1.504,20229.0,1.983,0.058,17.2,tests performed,1904235.0,1412419.0,491816.0,24426.0,51502.0,18.66,13.84,4.82,5048.0,49.07,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
KAZ,Asia,Kazakhstan,2021-06-02,445762.0,1385.0,1522.571,3456.0,0.0,3.286,23740.158,73.762,81.088,184.058,0.0,0.175,0.93,,,,,,,,,148586.0,11528771.0,613.993,7.913,58251.0,3.102,0.034,29.5,tests performed,3241998.0,2145688.0,1096310.0,35525.0,33192.0,17.27,11.43,5.84,1768.0,62.96,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
KEN,Africa,Kenya,2021-06-02,171226.0,142.0,267.143,3206.0,18.0,15.571,3184.338,2.641,4.968,59.623,0.335,0.29,0.89,,,,,,,,,,,,,,,,,,971714.0,971243.0,471.0,2300.0,1619.0,1.81,1.81,0.0,30.0,65.74,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
KIR,Oceania,Kiribati,2021-06-02,2.0,0.0,0.0,,,0.0,16.744,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,119446.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63
OWID_KOS,Europe,Kosovo,2021-06-02,107039.0,18.0,19.143,2248.0,0.0,0.286,55381.022,9.313,9.904,1163.095,0.0,0.148,0.51,,,,,,,,,2460.0,611357.0,316.311,1.273,,,,,tests performed,69686.0,69686.0,,,1111.0,3.61,3.61,,575.0,45.37,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,
KWT,Asia,Kuwait,2021-06-02,311846.0,1345.0,1258.143,1779.0,4.0,4.0,73022.222,314.947,294.608,416.573,0.937,0.937,1.11,,,,,,,,,10962.0,2607769.0,610.638,2.567,10391.0,2.433,0.121,8.3,tests performed,,,,,,,,,,50.93,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
KGZ,Asia,Kyrgyzstan,2021-06-02,105469.0,358.0,323.143,1821.0,6.0,6.857,16165.836,54.873,49.53,279.115,0.92,1.051,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
LAO,Asia,Laos,2021-06-02,1934.0,5.0,7.286,3.0,0.0,0.143,265.822,0.687,1.001,0.412,0.0,0.02,0.36,,,,,,,,,2216.0,250496.0,34.43,0.305,2038.0,0.28,0.006,154.4,people tested,914014.0,664661.0,249353.0,48320.0,24360.0,12.56,9.14,3.43,3348.0,85.19,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
LVA,Europe,Latvia,2021-06-02,133866.0,348.0,279.429,2386.0,7.0,5.429,70971.19,184.498,148.144,1264.976,3.711,2.878,0.81,,,359.0,190.33,114.694,60.807,265.972,141.009,14546.0,2626819.0,1392.65,7.712,10617.0,5.629,0.028,36.0,tests performed,780302.0,507203.0,293176.0,14982.0,14369.0,41.37,26.89,15.54,7618.0,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
LBN,Asia,Lebanon,2021-06-02,540844.0,214.0,224.714,7740.0,5.0,6.143,79239.41,31.353,32.923,1133.992,0.733,0.9,0.69,,,,,,,,,17483.0,4392200.0,643.504,2.561,12858.0,1.884,,,tests performed,819518.0,546388.0,273130.0,19378.0,14890.0,12.01,8.01,4.0,2182.0,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LSO,Africa,Lesotho,2021-06-02,10831.0,0.0,1.286,326.0,0.0,0.0,5055.894,0.0,0.6,152.176,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,36759.0,36637.0,122.0,,398.0,1.72,1.71,0.01,186.0,28.7,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
LBR,Africa,Liberia,2021-06-02,2219.0,9.0,6.429,86.0,0.0,0.0,438.739,1.779,1.271,17.004,0.0,0.0,0.79,,,,,,,,,,,,,,,,,,56144.0,56144.0,,,360.0,1.11,1.11,,71.0,43.52,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
LBY,Africa,Libya,2021-06-02,186323.0,251.0,310.286,3131.0,4.0,2.286,27116.172,36.529,45.157,455.664,0.582,0.333,1.09,,,,,,,,,3935.0,,,0.573,,,,,samples tested,243891.0,243891.0,,,6242.0,3.55,3.55,,908.0,79.63,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
LIE,Europe,Liechtenstein,2021-06-02,3016.0,4.0,2.0,58.0,0.0,0.0,79083.305,104.885,52.443,1520.833,0.0,0.0,0.87,,,,,,,,,74.0,46432.0,1217.505,1.94,178.0,4.667,0.011,90.9,tests performed,21281.0,12551.0,8730.0,0.0,315.0,55.8,32.91,22.89,8260.0,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
LTU,Europe,Lithuania,2021-06-02,275198.0,422.0,423.857,4283.0,7.0,9.0,101090.589,155.016,155.699,1573.307,2.571,3.306,0.7,,,586.0,215.26,44.818,16.463,173.426,63.706,21370.0,3438503.0,1263.092,7.85,19020.0,6.987,0.031,32.3,tests performed,1695789.0,1054243.0,641546.0,39621.0,23560.0,62.29,38.73,23.57,8654.0,66.67,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882
LUX,Europe,Luxembourg,2021-06-02,70027.0,44.0,51.143,818.0,1.0,0.857,111868.506,70.29,81.701,1306.759,1.598,1.369,0.81,7.0,11.183,24.0,38.34,,,,,5930.0,2894879.0,4624.585,9.473,6447.0,10.299,0.006,158.3,tests performed,356322.0,232381.0,123941.0,5266.0,4168.0,56.92,37.12,19.8,6658.0,45.37,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
MAC,Asia,Macao,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182969.0,116564.0,67247.0,5019.0,3672.0,28.18,17.95,10.36,5655.0,23.15,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,
MDG,Africa,Madagascar,2021-06-02,41419.0,53.0,51.143,846.0,5.0,4.143,1495.756,1.914,1.847,30.551,0.181,0.15,0.63,,,,,,,,,573.0,203455.0,7.347,0.021,384.0,0.014,0.145,6.9,tests performed,36640.0,36640.0,,,2769.0,0.13,0.13,,100.0,81.48,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
MWI,Africa,Malawi,2021-06-02,34360.0,14.0,8.0,1156.0,0.0,0.286,1796.136,0.732,0.418,60.429,0.0,0.015,0.94,,,,,,,,,,347638.0,18.172,,,,,,samples tested,356134.0,356134.0,,1016.0,1475.0,1.86,1.86,,77.0,42.59,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
MYS,Asia,Malaysia,2021-06-02,587165.0,7703.0,7685.429,2993.0,126.0,80.143,18141.415,237.997,237.454,92.474,3.893,2.476,1.22,,,,,,,,,89227.0,12066124.0,372.802,2.757,109191.0,3.374,0.07,14.2,people tested,3212873.0,2098189.0,1114684.0,65396.0,59668.0,9.93,6.48,3.44,1844.0,80.56,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81
MDV,Asia,Maldives,2021-06-02,65868.0,704.0,889.143,171.0,2.0,3.429,121855.471,1302.396,1644.91,316.349,3.7,6.343,0.94,,,,,,,,,4356.0,877954.0,1624.211,8.059,4853.0,8.978,0.228,4.4,samples tested,477916.0,310159.0,167757.0,1611.0,1597.0,88.41,57.38,31.03,2954.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
MLI,Africa,Mali,2021-06-02,14281.0,10.0,3.571,517.0,0.0,0.429,705.206,0.494,0.176,25.53,0.0,0.021,0.42,,,,,,,,,,,,,,,,,,127042.0,93580.0,33462.0,,3707.0,0.63,0.46,0.17,183.0,44.44,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
MLT,Europe,Malta,2021-06-02,30553.0,10.0,5.286,419.0,0.0,0.0,69196.606,22.648,11.971,948.954,0.0,0.0,0.75,,,,,,,0.0,0.0,1722.0,926764.0,2098.94,3.9,2027.0,4.591,0.002,489.3,tests performed,528592.0,319574.0,218321.0,8598.0,5438.0,119.72,72.38,49.45,12316.0,56.48,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
MHL,Oceania,Marshall Islands,2021-06-02,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
MRT,Africa,Mauritania,2021-06-02,19650.0,52.0,51.857,464.0,1.0,0.429,4226.115,11.184,11.153,99.792,0.215,0.092,1.21,,,,,,,,,,,,,,,,,,37331.0,30561.0,6770.0,,1260.0,0.8,0.66,0.15,271.0,39.81,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
MUS,Africa,Mauritius,2021-06-02,1418.0,19.0,12.286,18.0,0.0,0.143,1114.984,14.94,9.66,14.154,0.0,0.112,1.16,,,,,,,,,,,,,,,,,,400801.0,232673.0,168128.0,,9482.0,31.52,18.3,13.22,7456.0,80.56,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MEX,North America,Mexico,2021-06-02,2423928.0,3269.0,3029.429,228146.0,306.0,844.857,18799.94,25.354,23.496,1769.496,2.373,6.553,1.0,,,,,,,,,1392.0,6607253.0,51.246,0.011,9391.0,0.073,0.185,5.4,people tested,31811931.0,22633460.0,12919455.0,821023.0,476715.0,24.67,17.55,10.02,3697.0,44.44,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
FSM,Oceania,Micronesia (country),2021-06-02,1.0,0.0,0.0,,,0.0,8.694,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62
MDA,Europe,Moldova,2021-06-02,255285.0,44.0,53.857,6120.0,6.0,4.571,63283.922,10.907,13.351,1517.119,1.487,1.133,0.59,,,,,,,,,2644.0,1115509.0,276.529,0.655,3681.0,0.913,0.016,61.8,tests performed,439049.0,349748.0,89301.0,12963.0,10663.0,10.88,8.67,2.21,2643.0,56.94,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
MCO,Europe,Monaco,2021-06-02,2508.0,2.0,0.714,33.0,0.0,0.143,63907.859,50.963,18.201,840.893,0.0,3.64,0.5,,,,,,,,,,,,,,,,,,30029.0,16502.0,13527.0,,152.0,76.52,42.05,34.47,3873.0,54.63,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
MNG,Asia,Mongolia,2021-06-02,60372.0,0.0,757.857,286.0,0.0,3.857,18415.687,0.0,231.174,87.241,0.0,1.177,1.0,,,,,,,,,7837.0,2933544.0,894.839,2.391,7396.0,2.256,0.085,11.7,samples tested,3234111.0,1860915.0,1373196.0,51336.0,63747.0,98.65,56.76,41.89,19445.0,62.04,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNE,Europe,Montenegro,2021-06-02,99683.0,31.0,36.857,1587.0,2.0,1.286,158715.222,49.358,58.684,2526.821,3.184,2.047,0.71,,,,,,,,,,,,,,,,,,223627.0,135025.0,88602.0,5321.0,6113.0,35.61,21.5,14.11,9733.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
MSR,North America,Montserrat,2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522.0,1358.0,1164.0,,13.0,50.45,27.17,23.28,2601.0,,4999.0,,,,,,,,,,,,,74.16,
MAR,Africa,Morocco,2021-06-02,520028.0,418.0,317.143,9160.0,6.0,4.143,14088.869,11.325,8.592,248.167,0.163,0.112,1.11,,,,,,,,,4434.0,5993324.0,162.374,0.12,8429.0,0.228,0.036,28.1,people tested,14614443.0,8869486.0,5744957.0,200469.0,183688.0,39.59,24.03,15.56,4977.0,71.3,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
MOZ,Africa,Mozambique,2021-06-02,70923.0,73.0,38.857,836.0,0.0,0.286,2269.141,2.336,1.243,26.747,0.0,0.009,0.95,,,,,,,,,1710.0,544605.0,17.424,0.055,1179.0,0.038,0.019,52.2,units unclear,394312.0,319511.0,74801.0,,93.0,1.26,1.02,0.24,3.0,,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
MMR,Asia,Myanmar,2021-06-02,143823.0,72.0,72.143,3218.0,1.0,0.286,2643.329,1.323,1.326,59.144,0.018,0.005,1.52,,,,,,,,,1771.0,2621413.0,48.179,0.033,1398.0,0.026,0.038,26.7,samples tested,,,,,,,,,,72.22,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
NAM,Africa,Namibia,2021-06-02,56264.0,452.0,380.143,865.0,11.0,10.857,22143.196,177.889,149.609,340.428,4.329,4.273,1.29,,,,,,,,,2234.0,435661.0,171.458,0.879,1840.0,0.724,0.182,5.5,samples tested,80585.0,70585.0,10000.0,1865.0,1150.0,3.17,2.78,0.39,453.0,45.37,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
NPL,Asia,Nepal,2021-06-02,571111.0,4524.0,5083.714,7555.0,101.0,101.429,19601.015,155.268,174.477,259.294,3.466,3.481,0.77,,,,,,,,,15055.0,3057424.0,104.933,0.517,17301.0,0.594,0.337,3.0,tests performed,2827243.0,2113080.0,714163.0,24647.0,17201.0,9.7,7.25,2.45,590.0,94.44,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
NLD,Europe,Netherlands,2021-06-02,1681609.0,2516.0,2892.143,17918.0,12.0,9.714,98139.566,146.835,168.787,1045.704,0.7,0.567,0.77,418.0,24.395,793.0,46.28,110.245,6.434,524.65,30.619,,9657546.0,563.619,,17229.0,1.005,0.086,11.6,people tested,9490528.0,6613462.0,3035464.0,,90183.0,55.39,38.6,17.72,5263.0,62.04,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NCL,Oceania,New Caledonia,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92594.0,49881.0,42713.0,,851.0,32.43,17.47,14.96,2981.0,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,
NZL,Oceania,New Zealand,2021-06-02,2681.0,2.0,1.571,26.0,0.0,0.0,555.966,0.415,0.326,5.392,0.0,0.0,0.73,,,,,,,,,3056.0,2143395.0,444.482,0.634,4499.0,0.933,0.0,7852.9,tests performed,668115.0,432509.0,235606.0,19181.0,14861.0,13.85,8.97,4.89,3082.0,22.22,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
NIC,North America,Nicaragua,2021-06-02,7481.0,0.0,22.429,187.0,0.0,0.143,1129.284,0.0,3.386,28.228,0.0,0.022,0.09,,,,,,,,,,,,,,,,,,167500.0,167500.0,,,82.0,2.53,2.53,,12.0,13.89,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
NER,Africa,Niger,2021-06-02,5415.0,5.0,2.429,192.0,0.0,0.0,223.699,0.207,0.1,7.932,0.0,0.0,0.84,,,,,,,,,,,,,,,,,,159525.0,152582.0,6943.0,,4737.0,0.66,0.63,0.03,196.0,30.56,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
NGA,Africa,Nigeria,2021-06-02,166560.0,26.0,59.143,2099.0,0.0,4.0,807.996,0.126,0.287,10.182,0.0,0.019,1.48,,,,,,,,,,2133061.0,10.348,,5688.0,0.028,0.011,87.1,samples tested,2051228.0,1960493.0,90735.0,21165.0,15927.0,1.0,0.95,0.04,77.0,47.22,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
OWID_NAM,,North America,2021-06-02,38971125.0,30847.0,29494.857,884251.0,1082.0,1537.714,65821.575,52.1,49.816,1493.485,1.827,2.597,,,,,,,,,,,,,,,,,,,366846271.0,222742082.0,155034255.0,1737571.0,2527256.0,61.96,37.62,26.19,4268.0,,592072204.0,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-06-02,155345.0,41.0,32.571,5429.0,6.0,10.429,74563.93,19.68,15.634,2605.862,2.88,5.006,0.51,,,,,,,,,,791466.0,379.895,,4226.0,2.028,0.007,143.6,tests performed,331034.0,236878.0,94156.0,15253.0,9847.0,15.89,11.37,4.52,4726.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
OWID_CYN,Asia,Northern Cyprus,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129743.0,75463.0,54280.0,795.0,575.0,33.94,19.74,14.2,1504.0,,,,,,,,,,,,,,,,
NOR,Europe,Norway,2021-06-02,125929.0,353.0,323.857,785.0,2.0,0.286,23228.81,65.114,59.739,144.801,0.369,0.053,0.87,,,65.0,11.99,0.113,0.021,0.922,0.17,7643.0,5661903.0,1044.392,1.41,18687.0,3.447,0.021,48.6,people tested,2695466.0,1658912.0,1036554.0,38154.0,37519.0,49.72,30.6,19.12,6921.0,63.89,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
OWID_OCE,,Oceania,2021-06-02,49270.0,59.0,121.286,1103.0,0.0,0.429,1154.464,1.382,2.842,25.845,0.0,0.01,,,,,,,,,,,,,,,,,,,5618825.0,4745547.0,876191.0,138705.0,120533.0,13.17,11.12,2.05,2824.0,,42677809.0,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-06-02,219529.0,1258.0,946.429,2370.0,14.0,11.0,42989.084,246.347,185.334,464.103,2.742,2.154,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
PAK,Asia,Pakistan,2021-06-02,926695.0,2028.0,2199.0,21022.0,92.0,68.857,4195.234,9.181,9.955,95.169,0.416,0.312,0.85,,,,,,,,,47633.0,13269214.0,60.071,0.216,54953.0,0.249,0.044,22.6,tests performed,7648481.0,5706680.0,2076600.0,311294.0,253601.0,3.46,2.58,0.94,1148.0,64.35,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PSE,Asia,Palestine,2021-06-02,309036.0,304.0,320.143,3507.0,4.0,3.429,60578.475,59.591,62.756,687.456,0.784,0.672,0.94,,,,,,,,,3178.0,,,0.623,2809.0,0.551,0.131,7.6,tests performed,540908.0,318134.0,222774.0,18348.0,7970.0,10.6,6.24,4.37,1562.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708
PAN,North America,Panama,2021-06-02,379506.0,678.0,558.0,6381.0,4.0,3.429,87955.135,157.135,129.323,1478.874,0.927,0.795,1.1,,,,,,,,,10130.0,2639502.0,611.737,2.348,9323.0,2.161,0.056,17.9,tests performed,1080005.0,699067.0,380938.0,8007.0,15914.0,25.03,16.2,8.83,3688.0,,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
PNG,Oceania,Papua New Guinea,2021-06-02,15910.0,0.0,77.429,162.0,0.0,0.429,1778.244,0.0,8.654,18.107,0.0,0.048,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
PRY,South America,Paraguay,2021-06-02,361440.0,3196.0,2745.571,9396.0,103.0,99.286,50674.866,448.088,384.937,1317.345,14.441,13.92,1.04,,,,,,,,,8506.0,1284759.0,180.127,1.193,7647.0,1.072,0.368,2.7,tests performed,407644.0,327971.0,79673.0,14977.0,10590.0,5.72,4.6,1.12,1485.0,,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
PER,South America,Peru,2021-06-02,1965432.0,9963.0,4026.714,184942.0,115600.0,119.0,59609.401,302.167,122.126,5609.088,3506.021,3.609,0.97,,,,,,,,,,,,,,,,,,4033357.0,2810708.0,1222649.0,56662.0,79349.0,12.23,8.52,3.71,2407.0,75.93,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PHL,Asia,Philippines,2021-06-02,1240716.0,5249.0,6677.143,21158.0,146.0,141.286,11322.355,47.901,60.933,193.081,1.332,1.289,1.13,,,,,,,,,30349.0,12576976.0,114.773,0.277,45104.0,0.412,0.139,7.2,people tested,5180721.0,3974350.0,1206371.0,189800.0,139889.0,4.73,3.63,1.1,1277.0,71.76,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
POL,Europe,Poland,2021-06-02,2873527.0,659.0,725.286,73984.0,128.0,97.0,75925.621,17.412,19.164,1954.838,3.382,2.563,0.48,,,3984.0,105.267,,,,,32035.0,15595978.0,412.084,0.846,53363.0,1.41,0.016,61.2,people tested,21174546.0,14145161.0,7700322.0,638504.0,341329.0,55.95,37.37,20.35,9019.0,62.04,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
