iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
DNK,Europe,Denmark,2021-06-02,283852.0,956.0,977.286,2517.0,0.0,0.714,49005.879,165.049,168.724,434.55,0.0,0.123,1.0,36.0,6.215,148.0,25.552,,,2.87,0.496,48829.0,32234306.0,5565.12,8.43,138013.0,23.827,0.007,139.3,tests performed,3497498.0,2206276.0,1291222.0,57283.0,50637.0,60.38,38.09,22.29,8742.0,50.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
DJI,Africa,Djibouti,2021-06-02,11542.0,5.0,4.0,154.0,0.0,0.143,11682.163,5.061,4.049,155.87,0.0,0.145,0.54,,,,,,,,,,,,,,,,,,21357.0,12547.0,8810.0,,802.0,2.16,1.27,0.89,812.0,54.63,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
DMA,North America,Dominica,2021-06-02,188.0,0.0,0.571,,,0.0,2611.438,0.0,7.938,,,0.0,0.06,,,,,,,,,,,,,,,,,,37126.0,19830.0,17296.0,,97.0,51.57,27.55,24.03,1347.0,31.48,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
DOM,North America,Dominican Republic,2021-06-02,295680.0,1659.0,1344.429,3637.0,3.0,3.429,27256.878,152.933,123.934,335.272,0.277,0.316,1.2,,,,,,,,,3159.0,1531097.0,141.142,0.291,4782.0,0.441,0.2,5.0,samples tested,4456516.0,3313861.0,1142655.0,145142.0,72643.0,41.08,30.55,10.53,6697.0,66.67,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
ECU,South America,Ecuador,2021-06-02,428865.0,1175.0,1090.571,20681.0,61.0,52.714,24307.858,66.598,61.813,1172.189,3.457,2.988,0.86,,,,,,,,,3662.0,1368679.0,77.576,0.208,3461.0,0.196,0.289,3.5,people tested,2387698.0,1622557.0,765141.0,19522.0,51792.0,13.53,9.2,4.34,2936.0,76.85,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759
EGY,Africa,Egypt,2021-06-02,264557.0,951.0,1040.286,15178.0,42.0,46.857,2585.221,9.293,10.166,148.318,0.41,0.458,0.94,,,,,,,,,,,,,,,,,,2698411.0,2351512.0,346899.0,68177.0,81464.0,2.64,2.3,0.34,796.0,65.74,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
SLV,North America,El Salvador,2021-06-02,73702.0,0.0,125.857,2255.0,3.0,3.714,11362.892,0.0,19.404,347.661,0.463,0.573,1.29,,,,,,,,,,,,,,,,,,2015408.0,1169097.0,846311.0,44161.0,32554.0,31.07,18.02,13.05,5019.0,26.85,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
GNQ,Africa,Equatorial Guinea,2021-06-02,8572.0,0.0,13.714,118.0,0.0,0.714,6109.83,0.0,9.775,84.106,0.0,0.509,0.29,,,,,,,,,,,,,,,,,,224503.0,148085.0,76418.0,,3204.0,16.0,10.55,5.45,2284.0,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
ERI,Africa,Eritrea,2021-06-02,4145.0,28.0,22.429,14.0,0.0,0.0,1168.782,7.895,6.324,3.948,0.0,0.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
EST,Europe,Estonia,2021-06-02,129804.0,130.0,112.857,1259.0,1.0,2.429,97851.627,97.999,85.076,949.086,0.754,1.831,0.67,16.0,12.061,115.0,86.692,7.985,6.02,5.858,4.416,4395.0,1433055.0,1080.296,3.313,3826.0,2.884,0.033,30.6,tests performed,726233.0,484494.0,241739.0,11003.0,8801.0,54.75,36.52,18.22,6635.0,41.67,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
SWZ,Africa,Eswatini,2021-06-02,18618.0,17.0,6.571,673.0,0.0,0.143,16047.731,14.653,5.664,580.09,0.0,0.123,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
ETH,Africa,Ethiopia,2021-06-02,272036.0,246.0,265.143,4178.0,7.0,10.0,2366.28,2.14,2.306,36.342,0.061,0.087,0.68,,,,,,,,,3464.0,2723959.0,23.694,0.03,4674.0,0.041,0.062,16.0,tests performed,1838569.0,1838569.0,,16226.0,14288.0,1.6,1.6,,124.0,43.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
OWID_EUR,,Europe,2021-06-02,46979050.0,43826.0,49799.857,1077057.0,1273.0,1237.286,62749.166,58.538,66.517,1438.608,1.7,1.653,,,,,,,,,,,,,,,,,,,369030843.0,242257083.0,130816253.0,3852228.0,4195271.0,49.29,32.36,17.47,5604.0,,748680069.0,,,,,,,,,,,,,,
OWID_EUN,,European Union,2021-06-02,32255432.0,26005.0,32166.143,727038.0,641.0,652.0,72497.303,58.449,72.297,1634.09,1.441,1.465,,,,,,,,,,,,,,,,,,,256648289.0,174934254.0,85763562.0,3191941.0,3289461.0,57.68,39.32,19.28,7393.0,,444919060.0,,,,,,,,,,,,,,
